household_key,financial_health_score,predicted_risk_level,top_shap_driver,recommendation_category,personalized_recommendation
111021_9_1,80.5,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 80/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111022_3_1,77.8,Medium Risk,employment_capacity,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 78/100), driven mainly by few working members supporting the household. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111022_9_1,83.7,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111023_10_1,36.5,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 36/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111023_6_1,77.8,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 78/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111024_7_1,0.0,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 0/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111025_10_1,86.8,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111025_2_1,85.4,Medium Risk,financial_surplus,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 85/100), driven mainly by limited financial surplus after expenses. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111025_6_1,7.8,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 8/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111026_7_1,90.2,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 90/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111027_1_1,87.4,Low Risk,employment_capacity,Debt Reduction Plan,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by few working members supporting the household. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111027_7_1,5.4,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 5/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111028_2_1,76.5,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 76/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111028_8_1,72.7,Medium Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **Medium Risk** (Financial Health Score: 73/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111029_1_1,63.5,High Risk,debt_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 64/100), driven mainly by a high debt load relative to income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111029_5_1,48.2,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 48/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111030_3_1,81.2,Medium Risk,employment_capacity,Build Emergency Savings,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by few working members supporting the household. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111030_8_1,1.5,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 2/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111031_2_1,76.9,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 77/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111031_9_1,5.4,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 5/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111032_10_1,90.9,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 91/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111032_5_1,2.7,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 3/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111033_7_1,74.5,Medium Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **Medium Risk** (Financial Health Score: 74/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111034_1_1,0.0,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 0/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111034_5_1,92.2,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 92/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111035_4_1,74.2,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 74/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111035_9_1,38.8,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 39/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111036_3_1,87.6,Low Risk,per_capita_income,Debt Reduction Plan,"This household is assessed as **Low Risk** (Financial Health Score: 88/100), driven mainly by low income relative to household size. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111036_8_1,40.9,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 41/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111037_5_1,90.8,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 91/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111037_9_1,88.2,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 88/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111038_3_1,87.8,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 88/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111039_1_1,59.7,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 60/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111039_5_1,4.2,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 4/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111040_1_1,78.6,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 79/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111040_5_1,57.8,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 58/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111041_2_1,82.8,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 83/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111041_6_1,79.8,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 80/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111042_10_1,86.1,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 86/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111042_1_1,84.2,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111043_6_1,54.5,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 54/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111044_1_1,58.3,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 58/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111044_5_1,84.0,Medium Risk,credit_defaulted,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by a prior credit default on record. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
111045_1_1,100.0,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 100/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
